类型,评论ID,用户名称,用户ID,评论内容,点赞数,IP属地,发布时间,父评论ID,回复对象
一级评论,6915570000000000390230e5,momo,5f0d04cc000000000101e887,追觅真的质量很差，我看是国产的支持才买的，结果买了两个月前轮塑料那块破了！！！然后去换货，一个月后又破了！！！又换，换了现在这个五个月前轮塑料又坏了[微笑R]，换不了了要寄到厂里修，很麻烦，别买这个,18,美国,2025-11-13 11:56:48,,
回复,69159d780000000038031bdb,看山看海看自由,648d6db4000000000f005339,没经过市场检验，设计上有很多缺陷,0,江苏,2025-11-13 16:57:29,6915570000000000390230e5,@momo
一级评论,699a5016000000001803b361,泽雨,611f1913000000000101c17e,有没有不集尘的[哭惹R]哎呀妈呀。。。集尘袋换了一个又一个，就是无法集尘,0,海南,2026-02-22 08:38:47,,
回复,699a606b000000001d00bd82,看山看海看自由,648d6db4000000000f005339,估计你有这个问题，别人也有[失望R],0,重庆,2026-02-22 09:48:28,699a5016000000001803b361,@泽雨
一级评论,696cfac9000000000f025564,无所谓,6283acb8000000002102050f,我家的就是回基站有点困难了，拖布拆下来回基站很轻松，发觉是回基站的时候拖布要旋转，有什么办法让回基站的时候拖布不旋转吗,0,四川,2026-01-18 23:22:49,,
回复,69705034000000000f01ef49,看山看海看自由,648d6db4000000000f005339,估计就是拖布盘不行了,0,江苏,2026-01-21 12:04:04,696cfac9000000000f025564,@无所谓
一级评论,6960c122000000001d01e34d,真火,67190b7c000000001d0232e6,一样刚过质保 就出现 清扫时候 声音特大,1,北京,2026-01-09 16:49:43,,
回复,69645389000000000f026888,babyn,584028e282ec3932d2bf2fc0,我们家的也是，该如何维权呢,2,山东,2026-01-12 09:51:05,6960c122000000001d01e34d,@真火
一级评论,69591489000000000f01f918,Q神,5756d7ca346094724184c11f,同样发生了问题5，问下换了什么电池呢,1,上海,2026-01-03 21:07:21,,
回复,6959c7ec000000000503b768,看山看海看自由,648d6db4000000000f005339,就淘宝上搜型号，很多,0,江苏,2026-01-04 09:52:44,69591489000000000f01f918,@Q神
